Num,Div,Date,Time,Field,Visitor,TeamV,Home,TeamH,Type
3681,B15BB,10/02/2016,12:00 AM,TBS (H),14160,Lyndhurst-AbuHakmeh-BU15BB,13727,WayneBG-Mahler-BU15B,
3682,B15BB,10/02/2016,04:30 PM,TORP-PulisA,14197,RiverDell-Manzelli-BU15B,13982,Torpedoes-Apostolou-BU15BB,
3683,B15BB,10/02/2016,12:00 AM,TBS (V),13804,Verona-Celi-BU15B,14601,NJRangers-Dontas-BU15B,
3684,B15BB,10/16/2016,02:30 PM,TORP-PulisA,14601,NJRangers-Dontas-BU15B,13982,Torpedoes-Apostolou-BU15BB,
3685,B15BB,10/16/2016,12:00 AM,TBS (B),13727,WayneBG-Mahler-BU15B,13804,Verona-Celi-BU15B,
3686,B15BB,10/16/2016,05:00 PM,RDBH-HS-Stadium,14160,Lyndhurst-AbuHakmeh-BU15BB,14197,RiverDell-Manzelli-BU15B,
3687,B15BB,10/23/2016,06:30 PM,NJRANG-FairfieldTurf,14197,RiverDell-Manzelli-BU15B,14601,NJRangers-Dontas-BU15B,
3688,B15BB,10/23/2016,12:00 AM,TBS (H),14160,Lyndhurst-AbuHakmeh-BU15BB,13804,Verona-Celi-BU15B,
3689,B15BB,10/23/2016,12:00 AM,TBS (V),13727,WayneBG-Mahler-BU15B,13982,Torpedoes-Apostolou-BU15BB,
3690,B15BB,10/30/2016,10:00 AM,RDBH-HS-Stadium,13804,Verona-Celi-BU15B,14197,RiverDell-Manzelli-BU15B,
3691,B15BB,10/30/2016,06:00 PM,LYND-RecCtrFld1,13982,Torpedoes-Apostolou-BU15BB,14160,Lyndhurst-AbuHakmeh-BU15BB,
3692,B15BB,10/30/2016,09:00 AM,WYNE-WayneValleyHS,14601,NJRangers-Dontas-BU15B,13727,WayneBG-Mahler-BU15B,
3693,B15BB,11/06/2016,12:00 AM,TBS (V),13804,Verona-Celi-BU15B,13982,Torpedoes-Apostolou-BU15BB,
3694,B15BB,11/06/2016,12:00 AM,TBS (V),14160,Lyndhurst-AbuHakmeh-BU15BB,14601,NJRangers-Dontas-BU15B,
3695,B15BB,11/06/2016,12:00 AM,TBS (V),14197,RiverDell-Manzelli-BU15B,13727,WayneBG-Mahler-BU15B,
3696,B15BB,11/13/2016,05:00 PM,LYND-RecCtrFld1,13727,WayneBG-Mahler-BU15B,14160,Lyndhurst-AbuHakmeh-BU15BB,
3697,B15BB,11/13/2016,10:00 AM,RDBH-HS-Stadium,13982,Torpedoes-Apostolou-BU15BB,14197,RiverDell-Manzelli-BU15B,
3698,B15BB,11/13/2016,12:00 AM,TBS (B),14601,NJRangers-Dontas-BU15B,13804,Verona-Celi-BU15B,
3699,B15BB,11/20/2016,07:00 PM,LYND-RecCtrFld1,14197,RiverDell-Manzelli-BU15B,14160,Lyndhurst-AbuHakmeh-BU15BB,
3700,B15BB,11/20/2016,06:30 PM,NJRANG-FairfieldTurf,13982,Torpedoes-Apostolou-BU15BB,14601,NJRangers-Dontas-BU15B,
3701,B15BB,11/20/2016,12:00 AM,TBS (V),13804,Verona-Celi-BU15B,13727,WayneBG-Mahler-BU15B,
3702,B15BW,09/11/2016,07:00 PM,WALD-HSTurf-3,14394,Lodi-Santos-BU15B,14110,Warriors-Convery-BU15B,
3703,B15BW,09/11/2016,12:00 AM,TBS (H),14574,Fairview-Macias-BU15B,14701,Hoboken-Pellegrini-BU15BW,
3704,B15BW,09/11/2016,12:00 AM,TBS (H),14233,Nutley-Kirby-BU15B,14012,Sportfriends-Fett-BU15B,
3705,B15BW,09/18/2016,12:00 AM,TBS (V),14012,Sportfriends-Fett-BU15B,14574,Fairview-Macias-BU15B,
3706,B15BW,09/18/2016,06:00 PM,NUT-FatherGlotzbach1,14110,Warriors-Convery-BU15B,14233,Nutley-Kirby-BU15B,
3707,B15BW,09/18/2016,06:00 PM,LODI-Kennedy,14701,Hoboken-Pellegrini-BU15BW,14394,Lodi-Santos-BU15B,
3708,B15BW,09/25/2016,01:00 PM,HOB-SinatraPk,14233,Nutley-Kirby-BU15B,14701,Hoboken-Pellegrini-BU15BW,
3709,B15BW,09/25/2016,12:00 PM,SPORTFRNDS-Oval,14110,Warriors-Convery-BU15B,14012,Sportfriends-Fett-BU15B,
3710,B15BW,09/25/2016,03:00 PM,FAIRVIEW-English,14394,Lodi-Santos-BU15B,14574,Fairview-Macias-BU15B,
3711,B15BW,10/02/2016,07:00 PM,WALD-HSTurf-3,14701,Hoboken-Pellegrini-BU15BW,14110,Warriors-Convery-BU15B,
3712,B15BW,10/02/2016,12:00 AM,TBS (V),14012,Sportfriends-Fett-BU15B,14394,Lodi-Santos-BU15B,
3713,B15BW,10/02/2016,04:00 PM,NUT-FatherGlotzbach1,14574,Fairview-Macias-BU15B,14233,Nutley-Kirby-BU15B,
3714,B15BW,10/16/2016,06:00 PM,LODI-Kennedy,14233,Nutley-Kirby-BU15B,14394,Lodi-Santos-BU15B,
3715,B15BW,10/16/2016,12:00 AM,TBS (H),14701,Hoboken-Pellegrini-BU15BW,14012,Sportfriends-Fett-BU15B,
3716,B15BW,10/16/2016,03:00 PM,FAIRVIEW-English,14110,Warriors-Convery-BU15B,14574,Fairview-Macias-BU15B,
3717,B15BW,10/23/2016,03:00 PM,FAIRVIEW-English,14701,Hoboken-Pellegrini-BU15BW,14574,Fairview-Macias-BU15B,
3718,B15BW,10/23/2016,07:30 PM,LODI-MemorialPk,14110,Warriors-Convery-BU15B,14394,Lodi-Santos-BU15B,
3719,B15BW,10/23/2016,05:30 PM,NUT-FatherGlotzbach1,14012,Sportfriends-Fett-BU15B,14233,Nutley-Kirby-BU15B,
3720,B15BW,10/30/2016,12:00 PM,SPORTFRNDS-Oval,14574,Fairview-Macias-BU15B,14012,Sportfriends-Fett-BU15B,
3721,B15BW,10/30/2016,07:00 PM,WALD-HSTurf-3,14233,Nutley-Kirby-BU15B,14110,Warriors-Convery-BU15B,
3722,B15BW,10/30/2016,01:00 PM,HOB-SinatraPk,14394,Lodi-Santos-BU15B,14701,Hoboken-Pellegrini-BU15BW,
3723,B15BW,11/06/2016,12:00 AM,TBS (V),14012,Sportfriends-Fett-BU15B,14110,Warriors-Convery-BU15B,
3724,B15BW,11/06/2016,05:00 PM,LODI-Kennedy,14574,Fairview-Macias-BU15B,14394,Lodi-Santos-BU15B,
3725,B15BW,11/06/2016,01:30 PM,NUT-FatherGlotzbach1,14701,Hoboken-Pellegrini-BU15BW,14233,Nutley-Kirby-BU15B,
3726,B15BW,11/13/2016,03:00 PM,FAIRVIEW-English,14233,Nutley-Kirby-BU15B,14574,Fairview-Macias-BU15B,
