123 Log Analyzer Report
Domain name:NCSA 2009
Using Filter: 
generated on Mon Jul 13 10:14:11 2009

Time Period:01/Jan/2009:00:01:02 - 13/Jul/2009:14:12:57 total 194 day(s)

General Statistics
Total Hits,5112439
Total Cached Hits,5112439
Average Hits Per Day,26352
Average Hits Per Hour,1100
Average Hits Per Visitor,13.8
Average Data Transferred per Hit,0.0 KB
Total Visitors,371052
Average Visitors Per Day ,1912
Average Time Spent,323 Seconds
Average PageViews per visitor,5.36
Average Downloads per visitor,0.04
Average Data Transferred per Visitor,0.0 KB
Total Uniq IPs,41445
Visitors Who Visit Once,22139
Visitors Who Visit more than Once,19306
Total PageViews,1990090
Average PageViews Per Day,10258
Total File Downloads,14215
Average File Downloads Per Day,73
Total Images,2139782
Average Images Per Day,11029
Total failed requests,265742
Total Incomplete File downloads requests,966
Number of visitors bookmarked your web site,183973
Total Data Transferred,0.00 KB
Average Data Transferred per Day,0.00 KB


Access Report
Daily Report
Date,Hits,Visitors,Uniq IPs,Data Transferred(KB)
Sat Mar 07 2009,6869,4 days 8 hours 12 mins 1 secs,5 mins 7 secs
Sun Mar 08 2009,6195,3 days 1 hours 29 mins 49 secs,3 mins 48 secs
Mon Mar 09 2009,8836,4 days 11 hours 44 mins 14 secs,3 mins 54 secs
Tue Mar 10 2009,6412,3 days 17 hours 46 mins 10 secs,3 mins 37 secs
Wed Mar 11 2009,6595,3 days 13 hours 14 mins 46 secs,3 mins 4 secs
Thu Mar 12 2009,15318,12 days 7 hours 42 mins 45 secs,7 mins 48 secs
Fri Mar 13 2009,13902,11 days 11 hours 25 mins 20 secs,6 mins 41 secs
Sat Mar 14 2009,7764,6 days 20 hours 27 mins 25 secs,5 mins 59 secs
Sun Mar 15 2009,7754,6 days 16 hours 29 mins 1 secs,5 mins 55 secs
Mon Mar 16 2009,13384,10 days 8 hours 59 mins 40 secs,5 mins 56 secs
Tue Mar 17 2009,11698,8 days 7 hours 28 mins 1 secs,5 mins 36 secs
Wed Mar 18 2009,10689,7 days 19 hours 31 mins 3 secs,5 mins 41 secs
Thu Mar 19 2009,9525,7 days 5 hours 56 mins 39 secs,5 mins 41 secs
Fri Mar 20 2009,9263,7 days 10 hours 36 mins 4 secs,5 mins 49 secs
Sat Mar 21 2009,5760,4 days 18 hours 58 mins 33 secs,5 mins 7 secs
Sun Mar 22 2009,8010,6 days 21 hours 43 mins 36 secs,5 mins 36 secs
Mon Mar 23 2009,15830,11 days 23 hours 42 mins 50 secs,6 mins 8 secs
Tue Mar 24 2009,14698,11 days 4 hours 44 mins 49 secs,6 mins 3 secs
Wed Mar 25 2009,14107,10 days 12 hours 12 mins 54 secs,5 mins 39 secs
Thu Mar 26 2009,18276,13 days 5 hours 5 mins 2 secs,6 mins 43 secs
Fri Mar 27 2009,12980,9 days 21 hours 40 mins 29 secs,5 mins 47 secs
Sat Mar 28 2009,12172,9 days 21 hours 12 mins 6 secs,5 mins 46 secs
Sun Mar 29 2009,33693,25 days 13 hours 32 mins 15 secs,6 mins 53 secs
Mon Mar 30 2009,27638,20 days 0 hours 5 mins 48 secs,7 mins 10 secs
Tue Mar 31 2009,15811,11 days 2 hours 10 mins 54 secs,5 mins 59 secs
Wed Apr 01 2009,14513,9 days 14 hours 2 mins 32 secs,5 mins 16 secs
Thu Apr 02 2009,15315,11 days 3 hours 59 mins 42 secs,6 mins 16 secs
Fri Apr 03 2009,14439,11 days 9 hours 20 mins 31 secs,6 mins 31 secs
Sat Apr 04 2009,13523,10 days 12 hours 35 mins 38 secs,6 mins 6 secs
Sun Apr 05 2009,22615,16 days 14 hours 17 mins 16 secs,5 mins 32 secs
Mon Apr 06 2009,28652,20 days 13 hours 36 mins 59 secs,7 mins 11 secs
Tue Apr 07 2009,15049,10 days 16 hours 16 mins 22 secs,5 mins 48 secs
Wed Apr 08 2009,12321,8 days 4 hours 12 mins 23 secs,5 mins 10 secs
Thu Apr 09 2009,9845,6 days 16 hours 26 mins 13 secs,5 mins 1 secs
Fri Apr 10 2009,7960,5 days 4 hours 7 mins 47 secs,4 mins 41 secs
Sat Apr 11 2009,6294,4 days 4 hours 59 mins 12 secs,4 mins 11 secs
